Scenario,MSE,PSNR,SSIM,LPIPS,ASR%,Recovery%
Clean,0.0178,18.07,0.5133,0.1913,0.0,
FGSM Attack,0.0104,21.20,0.5859,0.2791,66.0,
PGD Attack,0.0160,18.38,0.3542,0.5741,100.0,
PhotoGuard Attack,0.0303,15.40,0.4483,0.7001,98.0,
C&W Attack,0.0125,19.76,0.5151,0.4110,98.0,
FGSM + DiffPure Defense,0.0101,21.29,0.6305,0.2913,52.0,10.8
FGSM + LSSP Defense,0.0122,20.05,0.6071,0.4232,62.0,5.1
PGD + DiffPure Defense,0.0143,19.01,0.4356,0.5304,100.0,12.6
PGD + LSSP Defense,0.0129,19.43,0.5117,0.5222,98.0,24.4
PhotoGuard + DiffPure Defense,0.0239,16.48,0.4786,0.6939,96.0,5.5
PhotoGuard + LSSP Defense,0.0128,19.45,0.5036,0.6299,100.0,10.0
C&W + DiffPure Defense,0.0117,20.09,0.5564,0.4187,88.0,8.5
C&W + LSSP Defense,0.0117,20.12,0.6030,0.4339,68.0,18.1
