Scenario,MSE,PSNR,SSIM,LPIPS,ASR%,Recovery%
Clean,0.0176,18.08,0.5606,0.1867,0.0,
FGSM Attack,0.0069,22.47,0.6556,0.2358,52.0,
PGD Attack,0.0132,19.06,0.3824,0.5617,100.0,
PhotoGuard Attack,0.0310,15.22,0.4186,0.7089,100.0,
C&W Attack,0.0096,20.69,0.5481,0.3598,98.0,
FGSM + DiffPure Defense,0.0072,22.47,0.6799,0.2574,50.0,7.1
FGSM + LSSP Defense,0.0097,20.88,0.6451,0.4051,62.0,-3.0
PGD + DiffPure Defense,0.0126,19.52,0.4532,0.5233,100.0,11.5
PGD + LSSP Defense,0.0119,19.66,0.5261,0.5344,100.0,23.3
PhotoGuard + DiffPure Defense,0.0231,16.53,0.4550,0.6859,98.0,6.3
PhotoGuard + LSSP Defense,0.0122,19.71,0.5260,0.6321,100.0,18.5
C&W + DiffPure Defense,0.0088,21.14,0.5824,0.3756,88.0,7.6
C&W + LSSP Defense,0.0096,20.88,0.6332,0.4221,66.0,18.8
